question_id,subject,concept,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
Q0034,Chemistry,Chemical Bonding,Easy,[Chemical Bonding] Sample question #4 on Chemical Bonding (Easy level).,Chemical Bonding option A-4,Chemical Bonding option B-4,Chemical Bonding option C-4,Chemical Bonding option D-4,C
Q0035,Chemistry,Chemical Bonding,Medium,[Chemical Bonding] Sample question #5 on Chemical Bonding (Medium level).,Chemical Bonding option A-5,Chemical Bonding option B-5,Chemical Bonding option C-5,Chemical Bonding option D-5,D
Q0036,Chemistry,Organic Reactions,Easy,[Organic Reactions] Sample question #1 on Organic Reactions (Easy level).,Organic Reactions option A-1,Organic Reactions option B-1,Organic Reactions option C-1,Organic Reactions option D-1,A
Q0037,Chemistry,Organic Reactions,Medium,[Organic Reactions] Sample question #2 on Organic Reactions (Medium level).,Organic Reactions option A-2,Organic Reactions option B-2,Organic Reactions option C-2,Organic Reactions option D-2,D
Q0038,Chemistry,Organic Reactions,Hard,[Organic Reactions] Sample question #3 on Organic Reactions (Hard level).,Organic Reactions option A-3,Organic Reactions option B-3,Organic Reactions option C-3,Organic Reactions option D-3,D
Q0039,Chemistry,Organic Reactions,Easy,[Organic Reactions] Sample question #4 on Organic Reactions (Easy level).,Organic Reactions option A-4,Organic Reactions option B-4,Organic Reactions option C-4,Organic Reactions option D-4,B
Q0040,Chemistry,Organic Reactions,Medium,[Organic Reactions] Sample question #5 on Organic Reactions (Medium level).,Organic Reactions option A-5,Organic Reactions option B-5,Organic Reactions option C-5,Organic Reactions option D-5,C
Q0041,Chemistry,Equilibrium,Easy,[Equilibrium] Sample question #1 on Equilibrium (Easy level).,Equilibrium option A-1,Equilibrium option B-1,Equilibrium option C-1,Equilibrium option D-1,A
Q0042,Chemistry,Equilibrium,Medium,[Equilibrium] Sample question #2 on Equilibrium (Medium level).,Equilibrium option A-2,Equilibrium option B-2,Equilibrium option C-2,Equilibrium option D-2,D
Q0043,Chemistry,Equilibrium,Hard,[Equilibrium] Sample question #3 on Equilibrium (Hard level).,Equilibrium option A-3,Equilibrium option B-3,Equilibrium option C-3,Equilibrium option D-3,C
Q0044,Chemistry,Equilibrium,Easy,[Equilibrium] Sample question #4 on Equilibrium (Easy level).,Equilibrium option A-4,Equilibrium option B-4,Equilibrium option C-4,Equilibrium option D-4,B
Q0045,Chemistry,Equilibrium,Medium,[Equilibrium] Sample question #5 on Equilibrium (Medium level).,Equilibrium option A-5,Equilibrium option B-5,Equilibrium option C-5,Equilibrium option D-5,A
Q0046,Chemistry,Thermochemistry,Easy,[Thermochemistry] Sample question #1 on Thermochemistry (Easy level).,Thermochemistry option A-1,Thermochemistry option B-1,Thermochemistry option C-1,Thermochemistry option D-1,D
Q0047,Chemistry,Thermochemistry,Medium,[Thermochemistry] Sample question #2 on Thermochemistry (Medium level).,Thermochemistry option A-2,Thermochemistry option B-2,Thermochemistry option C-2,Thermochemistry option D-2,B
Q0048,Chemistry,Thermochemistry,Hard,[Thermochemistry] Sample question #3 on Thermochemistry (Hard level).,Thermochemistry option A-3,Thermochemistry option B-3,Thermochemistry option C-3,Thermochemistry option D-3,D
Q0049,Chemistry,Thermochemistry,Easy,[Thermochemistry] Sample question #4 on Thermochemistry (Easy level).,Thermochemistry option A-4,Thermochemistry option B-4,Thermochemistry option C-4,Thermochemistry option D-4,C
Q0050,Chemistry,Thermochemistry,Medium,[Thermochemistry] Sample question #5 on Thermochemistry (Medium level).,Thermochemistry option A-5,Thermochemistry option B-5,Thermochemistry option C-5,Thermochemistry option D-5,D
Q0051,Mathematics,Algebra,Easy,[Algebra] Sample question #1 on Algebra (Easy level).,Algebra option A-1,Algebra option B-1,Algebra option C-1,Algebra option D-1,D
Q0052,Mathematics,Algebra,Medium,[Algebra] Sample question #2 on Algebra (Medium level).,Algebra option A-2,Algebra option B-2,Algebra option C-2,Algebra option D-2,A
Q0053,Mathematics,Algebra,Hard,[Algebra] Sample question #3 on Algebra (Hard level).,Algebra option A-3,Algebra option B-3,Algebra option C-3,Algebra option D-3,B
Q0054,Mathematics,Algebra,Easy,[Algebra] Sample question #4 on Algebra (Easy level).,Algebra option A-4,Algebra option B-4,Algebra option C-4,Algebra option D-4,B
Q0055,Mathematics,Algebra,Medium,[Algebra] Sample question #5 on Algebra (Medium level).,Algebra option A-5,Algebra option B-5,Algebra option C-5,Algebra option D-5,B
Q0056,Mathematics,Calculus,Easy,[Calculus] Sample question #1 on Calculus (Easy level).,Calculus option A-1,Calculus option B-1,Calculus option C-1,Calculus option D-1,A
Q0057,Mathematics,Calculus,Medium,[Calculus] Sample question #2 on Calculus (Medium level).,Calculus option A-2,Calculus option B-2,Calculus option C-2,Calculus option D-2,C
Q0058,Mathematics,Calculus,Hard,[Calculus] Sample question #3 on Calculus (Hard level).,Calculus option A-3,Calculus option B-3,Calculus option C-3,Calculus option D-3,A
Q0059,Mathematics,Calculus,Easy,[Calculus] Sample question #4 on Calculus (Easy level).,Calculus option A-4,Calculus option B-4,Calculus option C-4,Calculus option D-4,C
Q0060,Mathematics,Calculus,Medium,[Calculus] Sample question #5 on Calculus (Medium level).,Calculus option A-5,Calculus option B-5,Calculus option C-5,Calculus option D-5,C
Q0061,Mathematics,Trigonometry,Easy,[Trigonometry] Sample question #1 on Trigonometry (Easy level).,Trigonometry option A-1,Trigonometry option B-1,Trigonometry option C-1,Trigonometry option D-1,D
Q0062,Mathematics,Trigonometry,Medium,[Trigonometry] Sample question #2 on Trigonometry (Medium level).,Trigonometry option A-2,Trigonometry option B-2,Trigonometry option C-2,Trigonometry option D-2,C
Q0063,Mathematics,Trigonometry,Hard,[Trigonometry] Sample question #3 on Trigonometry (Hard level).,Trigonometry option A-3,Trigonometry option B-3,Trigonometry option C-3,Trigonometry option D-3,B
Q0064,Mathematics,Trigonometry,Easy,[Trigonometry] Sample question #4 on Trigonometry (Easy level).,Trigonometry option A-4,Trigonometry option B-4,Trigonometry option C-4,Trigonometry option D-4,D
Q0065,Mathematics,Trigonometry,Medium,[Trigonometry] Sample question #5 on Trigonometry (Medium level).,Trigonometry option A-5,Trigonometry option B-5,Trigonometry option C-5,Trigonometry option D-5,B
Q0066,Mathematics,Probability,Easy,[Probability] Sample question #1 on Probability (Easy level).,Probability option A-1,Probability option B-1,Probability option C-1,Probability option D-1,B
Q0067,Mathematics,Probability,Medium,[Probability] Sample question #2 on Probability (Medium level).,Probability option A-2,Probability option B-2,Probability option C-2,Probability option D-2,D
Q0068,Mathematics,Probability,Hard,[Probability] Sample question #3 on Probability (Hard level).,Probability option A-3,Probability option B-3,Probability option C-3,Probability option D-3,B
Q0069,Mathematics,Probability,Easy,[Probability] Sample question #4 on Probability (Easy level).,Probability option A-4,Probability option B-4,Probability option C-4,Probability option D-4,A
Q0070,Mathematics,Probability,Medium,[Probability] Sample question #5 on Probability (Medium level).,Probability option A-5,Probability option B-5,Probability option C-5,Probability option D-5,B
Q0071,Mathematics,Coordinate Geometry,Easy,[Coordinate Geometry] Sample question #1 on Coordinate Geometry (Easy level).,Coordinate Geometry option A-1,Coordinate Geometry option B-1,Coordinate Geometry option C-1,Coordinate Geometry option D-1,D
Q0072,Mathematics,Coordinate Geometry,Medium,[Coordinate Geometry] Sample question #2 on Coordinate Geometry (Medium level).,Coordinate Geometry option A-2,Coordinate Geometry option B-2,Coordinate Geometry option C-2,Coordinate Geometry option D-2,A
Q0073,Mathematics,Coordinate Geometry,Hard,[Coordinate Geometry] Sample question #3 on Coordinate Geometry (Hard level).,Coordinate Geometry option A-3,Coordinate Geometry option B-3,Coordinate Geometry option C-3,Coordinate Geometry option D-3,B
Q0074,Mathematics,Coordinate Geometry,Easy,[Coordinate Geometry] Sample question #4 on Coordinate Geometry (Easy level).,Coordinate Geometry option A-4,Coordinate Geometry option B-4,Coordinate Geometry option C-4,Coordinate Geometry option D-4,A
Q0075,Mathematics,Coordinate Geometry,Medium,[Coordinate Geometry] Sample question #5 on Coordinate Geometry (Medium level).,Coordinate Geometry option A-5,Coordinate Geometry option B-5,Coordinate Geometry option C-5,Coordinate Geometry option D-5,C
