student_id,question_id,concept,difficulty,correct,time_taken,date
S002,Q0070,Probability,Medium,1,63.9,2026-08-26
S002,Q0059,Calculus,Easy,0,51.6,2026-08-27
S002,Q0065,Trigonometry,Medium,0,51.4,2026-08-28
S002,Q0057,Calculus,Medium,0,42.6,2026-08-28
S002,Q0021,Electrostatics,Easy,0,48.0,2026-08-29
S002,Q0020,Optics,Medium,0,53.8,2026-08-30
S002,Q0075,Coordinate Geometry,Medium,0,38.9,2026-09-01
S002,Q0059,Calculus,Easy,1,61.4,2026-09-02
S002,Q0004,Kinematics,Easy,1,64.8,2026-09-02
S002,Q0001,Kinematics,Easy,1,46.0,2026-09-03
S002,Q0018,Optics,Hard,0,55.1,2026-09-10
S002,Q0073,Coordinate Geometry,Hard,0,72.5,2026-09-10
S002,Q0011,Thermodynamics,Easy,1,46.6,2026-09-11
S002,Q0039,Organic Reactions,Easy,0,46.7,2026-09-12
S002,Q0058,Calculus,Hard,0,54.4,2026-09-12
S002,Q0012,Thermodynamics,Medium,0,52.4,2026-09-12
S002,Q0028,Atomic Structure,Hard,0,50.8,2026-09-15
S002,Q0040,Organic Reactions,Medium,0,47.8,2026-09-16
S002,Q0051,Algebra,Easy,0,55.4,2026-09-18
S002,Q0066,Probability,Easy,0,39.2,2026-09-19
S002,Q0011,Thermodynamics,Easy,1,36.3,2026-09-21
S002,Q0043,Equilibrium,Hard,0,35.5,2026-09-22
S003,Q0065,Trigonometry,Medium,0,88.2,2026-08-10
S003,Q0063,Trigonometry,Hard,0,52.4,2026-08-10
S003,Q0052,Algebra,Medium,1,44.1,2026-08-12
S003,Q0069,Probability,Easy,0,63.2,2026-08-13
S003,Q0023,Electrostatics,Hard,1,51.9,2026-08-14
S003,Q0036,Organic Reactions,Easy,1,50.5,2026-08-14
S003,Q0025,Electrostatics,Medium,1,26.7,2026-08-15
S003,Q0059,Calculus,Easy,0,37.3,2026-08-16
S003,Q0066,Probability,Easy,1,53.5,2026-08-18
S003,Q0050,Thermochemistry,Medium,0,48.4,2026-08-18
S003,Q0023,Electrostatics,Hard,1,35.7,2026-08-19
S003,Q0030,Atomic Structure,Medium,1,39.1,2026-08-19
S003,Q0073,Coordinate Geometry,Hard,1,57.4,2026-08-21
S003,Q0073,Coordinate Geometry,Hard,0,61.9,2026-08-21
S003,Q0009,Laws of Motion,Easy,0,37.0,2026-08-21
S003,Q0053,Algebra,Hard,1,50.6,2026-08-22
S003,Q0065,Trigonometry,Medium,0,55.4,2026-08-23
S003,Q0006,Laws of Motion,Easy,0,58.2,2026-08-25
S003,Q0013,Thermodynamics,Hard,0,42.2,2026-08-25
S003,Q0036,Organic Reactions,Easy,0,36.2,2026-08-26
S003,Q0055,Algebra,Medium,1,60.2,2026-08-28
S003,Q0023,Electrostatics,Hard,0,24.1,2026-08-30
S003,Q0018,Optics,Hard,0,50.4,2026-08-31
S003,Q0051,Algebra,Easy,1,41.6,2026-08-31
S003,Q0014,Thermodynamics,Easy,1,45.2,2026-09-02
S003,Q0009,Laws of Motion,Easy,0,49.2,2026-09-03
S003,Q0040,Organic Reactions,Medium,0,53.9,2026-09-04
S003,Q0025,Electrostatics,Medium,1,50.0,2026-09-04
S003,Q0062,Trigonometry,Medium,0,54.9,2026-09-06
S003,Q0044,Equilibrium,Easy,0,51.2,2026-09-06
S003,Q0069,Probability,Easy,1,51.8,2026-09-13
S003,Q0001,Kinematics,Easy,1,46.2,2026-09-14
S003,Q0022,Electrostatics,Medium,0,38.6,2026-09-18
S003,Q0045,Equilibrium,Medium,0,65.0,2026-09-18
S003,Q0006,Laws of Motion,Easy,0,65.8,2026-09-19
S003,Q0045,Equilibrium,Medium,0,73.8,2026-09-21
S003,Q0019,Optics,Easy,0,67.4,2026-09-22
S004,Q0030,Atomic Structure,Medium,1,42.0,2026-08-12
S004,Q0071,Coordinate Geometry,Easy,1,53.5,2026-08-12
S004,Q0069,Probability,Easy,0,55.7,2026-08-12
S004,Q0065,Trigonometry,Medium,0,63.8,2026-08-14
S004,Q0011,Thermodynamics,Easy,1,44.1,2026-08-17
S004,Q0064,Trigonometry,Easy,1,20.5,2026-08-17
S004,Q0021,Electrostatics,Easy,0,18.3,2026-08-19
S004,Q0061,Trigonometry,Easy,1,54.3,2026-08-30
S004,Q0031,Chemical Bonding,Easy,0,44.6,2026-08-30
S004,Q0046,Thermochemistry,Easy,1,54.1,2026-08-31
S004,Q0009,Laws of Motion,Easy,0,76.8,2026-09-01
S004,Q0063,Trigonometry,Hard,0,58.9,2026-09-01
S004,Q0028,Atomic Structure,Hard,1,47.1,2026-09-03
S004,Q0017,Optics,Medium,0,52.6,2026-09-03
S004,Q0075,Coordinate Geometry,Medium,1,33.2,2026-09-05
S004,Q0043,Equilibrium,Hard,0,49.2,2026-09-06
S004,Q0049,Thermochemistry,Easy,1,40.8,2026-09-07
S004,Q0044,Equilibrium,Easy,1,50.6,2026-09-07
S004,Q0005,Kinematics,Medium,0,59.3,2026-09-08
S004,Q0037,Organic Reactions,Medium,1,34.8,2026-09-09
S004,Q0004,Kinematics,Easy,0,47.0,2026-09-10
S004,Q0009,Laws of Motion,Easy,0,58.8,2026-09-12
S004,Q0074,Coordinate Geometry,Easy,0,29.5,2026-09-14
S004,Q0066,Probability,Easy,1,54.2,2026-09-15
S004,Q0071,Coordinate Geometry,Easy,0,51.1,2026-09-15
S004,Q0058,Calculus,Hard,1,54.2,2026-09-16
S004,Q0073,Coordinate Geometry,Hard,0,55.9,2026-09-17
S004,Q0051,Algebra,Easy,1,37.4,2026-09-17
S004,Q0041,Equilibrium,Easy,1,66.4,2026-09-19
S004,Q0071,Coordinate Geometry,Easy,1,58.0,2026-09-19
S004,Q0041,Equilibrium,Easy,1,55.2,2026-09-21
S004,Q0015,Thermodynamics,Medium,0,50.9,2026-09-22
S005,Q0056,Calculus,Easy,1,42.0,2026-08-12
S005,Q0034,Chemical Bonding,Easy,1,53.4,2026-08-13
S005,Q0074,Coordinate Geometry,Easy,0,49.3,2026-08-14
S005,Q0057,Calculus,Medium,1,26.3,2026-08-14
S005,Q0005,Kinematics,Medium,0,33.2,2026-08-16
S005,Q0053,Algebra,Hard,1,54.5,2026-08-17
S005,Q0058,Calculus,Hard,1,62.3,2026-08-18
S005,Q0065,Trigonometry,Medium,1,44.3,2026-08-19
S005,Q0058,Calculus,Hard,1,45.1,2026-08-20
S005,Q0007,Laws of Motion,Medium,0,67.8,2026-08-21
S005,Q0041,Equilibrium,Easy,1,52.9,2026-08-23
S005,Q0029,Atomic Structure,Easy,0,43.7,2026-08-24
S005,Q0060,Calculus,Medium,1,54.4,2026-08-24
S005,Q0040,Organic Reactions,Medium,0,51.4,2026-08-24
S005,Q0067,Probability,Medium,1,47.0,2026-08-25
S005,Q0008,Laws of Motion,Hard,0,50.0,2026-08-25
S005,Q0021,Electrostatics,Easy,0,33.5,2026-09-02
S005,Q0012,Thermodynamics,Medium,0,56.8,2026-09-03
S005,Q0054,Algebra,Easy,1,35.8,2026-09-04
S005,Q0051,Algebra,Easy,1,51.1,2026-09-05
S005,Q0052,Algebra,Medium,1,52.8,2026-09-05
S005,Q0048,Thermochemistry,Hard,0,58.1,2026-09-07
S005,Q0067,Probability,Medium,1,47.8,2026-09-08
S005,Q0048,Thermochemistry,Hard,0,53.2,2026-09-08
S005,Q0045,Equilibrium,Medium,1,36.1,2026-09-08
S005,Q0075,Coordinate Geometry,Medium,0,61.7,2026-09-09
S005,Q0034,Chemical Bonding,Easy,1,48.1,2026-09-11
S005,Q0063,Trigonometry,Hard,1,50.1,2026-09-12
S005,Q0029,Atomic Structure,Easy,0,44.1,2026-09-14
S005,Q0009,Laws of Motion,Easy,1,69.1,2026-09-14
S005,Q0069,Probability,Easy,0,44.5,2026-09-15
S005,Q0038,Organic Reactions,Hard,0,62.0,2026-09-15
S005,Q0074,Coordinate Geometry,Easy,1,49.5,2026-09-17
S005,Q0055,Algebra,Medium,1,52.7,2026-09-17
S005,Q0004,Kinematics,Easy,0,39.0,2026-09-18
S005,Q0016,Optics,Easy,1,47.7,2026-09-22
S006,Q0071,Coordinate Geometry,Easy,1,51.5,2026-08-10
S006,Q0052,Algebra,Medium,0,63.0,2026-08-10
S006,Q0015,Thermodynamics,Medium,0,43.1,2026-08-11
S006,Q0047,Thermochemistry,Medium,0,64.1,2026-08-18
S006,Q0050,Thermochemistry,Medium,0,53.0,2026-08-21
S006,Q0070,Probability,Medium,0,50.0,2026-08-23
S006,Q0043,Equilibrium,Hard,0,60.4,2026-08-23
S006,Q0062,Trigonometry,Medium,1,51.9,2026-08-25
S006,Q0017,Optics,Medium,0,40.5,2026-08-29
S006,Q0059,Calculus,Easy,1,40.4,2026-08-31
S006,Q0012,Thermodynamics,Medium,1,48.7,2026-08-31
S006,Q0049,Thermochemistry,Easy,1,51.0,2026-08-31
S006,Q0024,Electrostatics,Easy,0,49.7,2026-09-02
S006,Q0001,Kinematics,Easy,1,31.2,2026-09-04
S006,Q0075,Coordinate Geometry,Medium,0,45.7,2026-09-04
S006,Q0042,Equilibrium,Medium,0,71.3,2026-09-08
S006,Q0021,Electrostatics,Easy,1,63.5,2026-09-08
S006,Q0001,Kinematics,Easy,1,52.5,2026-09-09
S006,Q0067,Probability,Medium,0,52.4,2026-09-10
S006,Q0003,Kinematics,Hard,0,34.0,2026-09-12
S006,Q0051,Algebra,Easy,1,48.6,2026-09-15
S006,Q0022,Electrostatics,Medium,0,59.5,2026-09-17
S006,Q0001,Kinematics,Easy,1,48.3,2026-09-18
S006,Q0015,Thermodynamics,Medium,1,61.3,2026-09-18
S006,Q0044,Equilibrium,Easy,0,65.1,2026-09-21
S006,Q0060,Calculus,Medium,1,34.9,2026-09-21
S006,Q0032,Chemical Bonding,Medium,0,57.7,2026-09-22
S007,Q0041,Equilibrium,Easy,0,52.8,2026-08-11
S007,Q0030,Atomic Structure,Medium,1,47.3,2026-08-11
S007,Q0048,Thermochemistry,Hard,0,38.0,2026-08-12
S007,Q0065,Trigonometry,Medium,0,60.9,2026-08-12
S007,Q0002,Kinematics,Medium,1,35.6,2026-08-13
S007,Q0043,Equilibrium,Hard,0,51.0,2026-08-15
S007,Q0054,Algebra,Easy,1,51.8,2026-08-17
S007,Q0070,Probability,Medium,1,44.2,2026-08-21
S007,Q0058,Calculus,Hard,0,54.2,2026-08-21
S007,Q0034,Chemical Bonding,Easy,1,56.8,2026-08-22
S007,Q0056,Calculus,Easy,1,40.5,2026-08-25
S007,Q0035,Chemical Bonding,Medium,1,62.8,2026-08-26
S007,Q0067,Probability,Medium,1,35.1,2026-08-27
S007,Q0025,Electrostatics,Medium,0,69.1,2026-08-29
S007,Q0056,Calculus,Easy,1,29.8,2026-08-29
S007,Q0010,Laws of Motion,Medium,1,50.5,2026-08-30
S007,Q0044,Equilibrium,Easy,1,47.5,2026-09-02
S007,Q0074,Coordinate Geometry,Easy,1,41.0,2026-09-02
S007,Q0035,Chemical Bonding,Medium,1,66.3,2026-09-03
S007,Q0044,Equilibrium,Easy,1,62.9,2026-09-06
S007,Q0016,Optics,Easy,1,49.9,2026-09-06
S007,Q0062,Trigonometry,Medium,0,30.7,2026-09-10
S007,Q0023,Electrostatics,Hard,1,39.1,2026-09-11
S007,Q0072,Coordinate Geometry,Medium,0,38.2,2026-09-13
S007,Q0017,Optics,Medium,0,53.3,2026-09-14
S007,Q0035,Chemical Bonding,Medium,1,47.6,2026-09-20
S007,Q0053,Algebra,Hard,0,47.9,2026-09-21
S007,Q0075,Coordinate Geometry,Medium,1,57.4,2026-09-22
S008,Q0069,Probability,Easy,1,52.0,2026-08-10
S008,Q0068,Probability,Hard,1,42.5,2026-08-10
S008,Q0037,Organic Reactions,Medium,0,49.1,2026-08-11
S008,Q0046,Thermochemistry,Easy,1,57.3,2026-08-11
S008,Q0049,Thermochemistry,Easy,1,39.7,2026-08-13
S008,Q0027,Atomic Structure,Medium,0,40.4,2026-08-13
S008,Q0011,Thermodynamics,Easy,1,55.7,2026-08-15
S008,Q0066,Probability,Easy,1,59.0,2026-08-18
S008,Q0069,Probability,Easy,1,51.6,2026-08-18
S008,Q0002,Kinematics,Medium,0,63.8,2026-08-18
S008,Q0031,Chemical Bonding,Easy,0,54.5,2026-08-18
S008,Q0016,Optics,Easy,1,42.4,2026-08-19
S008,Q0024,Electrostatics,Easy,0,59.1,2026-08-25
S008,Q0020,Optics,Medium,0,68.1,2026-08-28
S008,Q0041,Equilibrium,Easy,0,43.7,2026-08-28
S008,Q0017,Optics,Medium,0,46.5,2026-08-28
S008,Q0010,Laws of Motion,Medium,1,51.7,2026-08-28
S008,Q0024,Electrostatics,Easy,0,56.2,2026-08-30
S008,Q0033,Chemical Bonding,Hard,0,71.5,2026-09-01
S008,Q0035,Chemical Bonding,Medium,0,36.9,2026-09-01
S008,Q0056,Calculus,Easy,1,48.5,2026-09-02
S008,Q0014,Thermodynamics,Easy,0,34.7,2026-09-05
S008,Q0069,Probability,Easy,1,61.6,2026-09-06
S008,Q0058,Calculus,Hard,0,54.6,2026-09-07
S008,Q0055,Algebra,Medium,1,47.5,2026-09-08
S008,Q0053,Algebra,Hard,0,57.1,2026-09-08
S008,Q0042,Equilibrium,Medium,0,33.7,2026-09-10
S008,Q0025,Electrostatics,Medium,0,43.0,2026-09-13
S008,Q0072,Coordinate Geometry,Medium,0,54.4,2026-09-14
S008,Q0005,Kinematics,Medium,0,30.3,2026-09-15
S008,Q0050,Thermochemistry,Medium,0,57.2,2026-09-17
S008,Q0039,Organic Reactions,Easy,0,24.0,2026-09-18
S008,Q0024,Electrostatics,Easy,0,64.9,2026-09-19
S008,Q0038,Organic Reactions,Hard,0,50.3,2026-09-21
S009,Q0071,Coordinate Geometry,Easy,1,47.3,2026-08-12
S009,Q0063,Trigonometry,Hard,0,58.4,2026-08-15
S009,Q0070,Probability,Medium,1,31.7,2026-08-15
S009,Q0021,Electrostatics,Easy,1,53.1,2026-08-17
S009,Q0014,Thermodynamics,Easy,1,45.8,2026-08-19
S009,Q0071,Coordinate Geometry,Easy,0,49.1,2026-08-19
S009,Q0065,Trigonometry,Medium,0,84.8,2026-08-21
S009,Q0062,Trigonometry,Medium,0,49.8,2026-08-22
S009,Q0041,Equilibrium,Easy,1,50.5,2026-08-23
S009,Q0030,Atomic Structure,Medium,0,39.3,2026-08-24
S009,Q0044,Equilibrium,Easy,0,49.3,2026-08-26
S009,Q0033,Chemical Bonding,Hard,0,67.2,2026-08-26
S009,Q0018,Optics,Hard,0,50.7,2026-08-28
S009,Q0021,Electrostatics,Easy,0,31.4,2026-08-31
S009,Q0004,Kinematics,Easy,1,61.9,2026-08-31
S009,Q0060,Calculus,Medium,0,60.2,2026-09-02
S009,Q0029,Atomic Structure,Easy,1,42.6,2026-09-03
S009,Q0010,Laws of Motion,Medium,0,47.1,2026-09-06
S009,Q0014,Thermodynamics,Easy,1,50.8,2026-09-09
S009,Q0038,Organic Reactions,Hard,0,66.9,2026-09-10
S009,Q0051,Algebra,Easy,1,58.2,2026-09-13
S009,Q0018,Optics,Hard,0,66.5,2026-09-15
S009,Q0061,Trigonometry,Easy,0,65.3,2026-09-16
S009,Q0055,Algebra,Medium,0,64.7,2026-09-18
S009,Q0063,Trigonometry,Hard,0,43.5,2026-09-19
S009,Q0062,Trigonometry,Medium,0,61.4,2026-09-20
S009,Q0030,Atomic Structure,Medium,0,51.4,2026-09-21
S010,Q0021,Electrostatics,Easy,0,48.2,2026-08-11
S010,Q0005,Kinematics,Medium,1,35.3,2026-08-13
S010,Q0070,Probability,Medium,0,58.8,2026-08-14
S010,Q0046,Thermochemistry,Easy,0,58.7,2026-08-16
S010,Q0051,Algebra,Easy,0,63.5,2026-08-19
S010,Q0064,Trigonometry,Easy,1,41.2,2026-08-20
S010,Q0002,Kinematics,Medium,1,48.2,2026-08-22
S010,Q0047,Thermochemistry,Medium,0,57.5,2026-08-22
S010,Q0019,Optics,Easy,0,51.5,2026-08-22
S010,Q0014,Thermodynamics,Easy,1,38.8,2026-08-28
S010,Q0071,Coordinate Geometry,Easy,1,29.0,2026-09-01
S010,Q0004,Kinematics,Easy,0,65.7,2026-09-02
S010,Q0070,Probability,Medium,1,75.0,2026-09-02
S010,Q0012,Thermodynamics,Medium,1,54.7,2026-09-03
S010,Q0036,Organic Reactions,Easy,0,53.4,2026-09-03
S010,Q0062,Trigonometry,Medium,1,49.2,2026-09-05
S010,Q0041,Equilibrium,Easy,1,52.2,2026-09-06
S010,Q0060,Calculus,Medium,0,61.5,2026-09-07
S010,Q0054,Algebra,Easy,1,58.3,2026-09-10
S010,Q0011,Thermodynamics,Easy,1,40.3,2026-09-13
S010,Q0061,Trigonometry,Easy,1,34.6,2026-09-14
S010,Q0049,Thermochemistry,Easy,0,55.3,2026-09-14
S010,Q0037,Organic Reactions,Medium,0,53.1,2026-09-17
S010,Q0032,Chemical Bonding,Medium,0,33.5,2026-09-19
S010,Q0009,Laws of Motion,Easy,1,41.1,2026-09-19
